domain,site_title,tagline,niche_slug,author_name,contact_email
bestdogbeds.com,Best Dog Beds HQ,Honest dog bed reviews your pup will love,dog-comfort,Sarah Mitchell,hello@bestdogbeds.com
coffeemakerguide.com,Coffee Maker Guide,Find your perfect home brew,home-coffee,James Park,hello@coffeemakerguide.com
mensgroomhub.com,Men's Groom Hub,Precision grooming tools tested and reviewed,mens-grooming,Mike Torres,hello@mensgroomhub.com
oralcarepicks.com,Oral Care Picks,Expert dental product reviews,oral-care,Dr. Lisa Chen,hello@oralcarepicks.com
catcarecentral.com,Cat Care Central,Everything your cat needs reviewed,cat-care,Emma Wilson,hello@catcarecentral.com
homecleaningpro.com,Home Cleaning Pro,Smart cleaning solutions tested and ranked,home-cleaning,David Kim,hello@homecleaningpro.com
healthycookinglab.com,Healthy Cooking Lab,Cook healthier with the right tools,healthy-cooking,Ana Rivera,hello@healthycookinglab.com
homeofficesetup.com,Home Office Setup,Build your perfect workspace,home-office,Ryan Cooper,hello@homeofficesetup.com
waterqualityhub.com,Water Quality Hub,Clean water and air for your home,water-air-quality,Jenny Nguyen,hello@waterqualityhub.com
campinggearguide.com,Camping Gear Guide,Tested gear for every adventure,camping-gear,Tom Walker,hello@campinggearguide.com
